family,n_mu_levels,mu_tokens,increment,md5_wire_block,odb_paths
1020_2a_40_rd_2000_cal_10_v_10,3,0100 025 050,24930436,4e9e631091,V:/Wire_drawing/2026/odb/1020_2a_40_rd_2000_cal_10_v_10_fric_0100.odb ; V:/Wire_drawing/2026/odb/1020_2a_40_rd_2000_cal_10_v_10_fric_025.odb ; V:/Wire_drawing/2026/odb/1020_2a_40_rd_2000_cal_10_v_10_fric_050.odb
1020_2a_40_rd_2000_cal_30_v_10,3,0100 025 050,25470340,9bfa281c91,V:/Wire_drawing/2026/odb/1020_2a_40_rd_2000_cal_30_v_10_fric_0100.odb ; V:/Wire_drawing/2026/odb/1020_2a_40_rd_2000_cal_30_v_10_fric_025.odb ; V:/Wire_drawing/2026/odb/1020_2a_40_rd_2000_cal_30_v_10_fric_050.odb
1020_2a_40_rd_2000_cal_50_v_10,3,0100 025 050,26132222,b6058ff24f,V:/Wire_drawing/2026/odb/1020_2a_40_rd_2000_cal_50_v_10_fric_0100.odb ; V:/Wire_drawing/2026/odb/1020_2a_40_rd_2000_cal_50_v_10_fric_025.odb ; V:/Wire_drawing/2026/odb/1020_2a_40_rd_2000_cal_50_v_10_fric_050.odb
1020_2a_40_rd_2000_cal_75_v_10,3,0100 025 050,27060015,58201793db,V:/Wire_drawing/2026/odb/1020_2a_40_rd_2000_cal_75_v_10_fric_0100.odb ; V:/Wire_drawing/2026/odb/1020_2a_40_rd_2000_cal_75_v_10_fric_025.odb ; V:/Wire_drawing/2026/odb/1020_2a_40_rd_2000_cal_75_v_10_fric_050.odb
1020_2a_8_rd_1000_cal_75_v_10,3,0100 025 050,8671359,0329891fe5,V:/Wire_drawing/2026/odb/1020_2a_8_rd_1000_cal_75_v_10_fric_0100.odb ; V:/Wire_drawing/2026/odb/1020_2a_8_rd_1000_cal_75_v_10_fric_025.odb ; V:/Wire_drawing/2026/odb/1020_2a_8_rd_1000_cal_75_v_10_fric_050.odb
1020_2a_8_rd_1500_cal_0_v_10,3,0100 025 050,9862551,d3d3ebd2db,V:/Wire_drawing/2026/odb/1020_2a_8_rd_1500_cal_0_v_10_fric_0100.odb ; V:/Wire_drawing/2026/odb/1020_2a_8_rd_1500_cal_0_v_10_fric_025.odb ; V:/Wire_drawing/2026/odb/1020_2a_8_rd_1500_cal_0_v_10_fric_050.odb
1020_2a_8_rd_1500_cal_100_v_10,3,0100 025 050,11175197,c4111abb1e,V:/Wire_drawing/2026/odb/1020_2a_8_rd_1500_cal_100_v_10_fric_0100.odb ; V:/Wire_drawing/2026/odb/1020_2a_8_rd_1500_cal_100_v_10_fric_025.odb ; V:/Wire_drawing/2026/odb/1020_2a_8_rd_1500_cal_100_v_10_fric_050.odb
1020_2a_8_rd_1500_cal_10_v_10,3,0100 025 050,10056090,df363bd2e1,V:/Wire_drawing/2026/odb/1020_2a_8_rd_1500_cal_10_v_10_fric_0100.odb ; V:/Wire_drawing/2026/odb/1020_2a_8_rd_1500_cal_10_v_10_fric_025.odb ; V:/Wire_drawing/2026/odb/1020_2a_8_rd_1500_cal_10_v_10_fric_050.odb
1020_2a_8_rd_1500_cal_30_v_10,3,0100 025 050,10309058,5ada4377dd,V:/Wire_drawing/2026/odb/1020_2a_8_rd_1500_cal_30_v_10_fric_0100.odb ; V:/Wire_drawing/2026/odb/1020_2a_8_rd_1500_cal_30_v_10_fric_025.odb ; V:/Wire_drawing/2026/odb/1020_2a_8_rd_1500_cal_30_v_10_fric_050.odb
1020_2a_8_rd_1500_cal_50_v_10,3,0100 025 050,10542844,6fded49613,V:/Wire_drawing/2026/odb/1020_2a_8_rd_1500_cal_50_v_10_fric_0100.odb ; V:/Wire_drawing/2026/odb/1020_2a_8_rd_1500_cal_50_v_10_fric_025.odb ; V:/Wire_drawing/2026/odb/1020_2a_8_rd_1500_cal_50_v_10_fric_050.odb
1020_2a_8_rd_1500_cal_75_v_10,3,0100 025 050,10875303,e48217ca4f,V:/Wire_drawing/2026/odb/1020_2a_8_rd_1500_cal_75_v_10_fric_0100.odb ; V:/Wire_drawing/2026/odb/1020_2a_8_rd_1500_cal_75_v_10_fric_025.odb ; V:/Wire_drawing/2026/odb/1020_2a_8_rd_1500_cal_75_v_10_fric_050.odb
1020_2a_8_rd_150_cal_0_v_10,3,0100 025 050,5704519,36adcdd29d,V:/Wire_drawing/2026/odb/1020_2a_8_rd_150_cal_0_v_10_fric_0100.odb ; V:/Wire_drawing/2026/odb/1020_2a_8_rd_150_cal_0_v_10_fric_025.odb ; V:/Wire_drawing/2026/odb/1020_2a_8_rd_150_cal_0_v_10_fric_050.odb
1020_2a_8_rd_150_cal_100_v_10,3,0100 025 050,6509912,65423d1e67,V:/Wire_drawing/2026/odb/1020_2a_8_rd_150_cal_100_v_10_fric_0100.odb ; V:/Wire_drawing/2026/odb/1020_2a_8_rd_150_cal_100_v_10_fric_025.odb ; V:/Wire_drawing/2026/odb/1020_2a_8_rd_150_cal_100_v_10_fric_050.odb
1020_2a_8_rd_150_cal_10_v_10,3,0100 025 050,5777323,8e0cb4023b,V:/Wire_drawing/2026/odb/1020_2a_8_rd_150_cal_10_v_10_fric_0100.odb ; V:/Wire_drawing/2026/odb/1020_2a_8_rd_150_cal_10_v_10_fric_025.odb ; V:/Wire_drawing/2026/odb/1020_2a_8_rd_150_cal_10_v_10_fric_050.odb
1020_2a_8_rd_150_cal_50_v_10,3,0100 025 050,7785783,3be1bcee8d,V:/Wire_drawing/2026/odb/1020_2a_8_rd_150_cal_50_v_10_fric_0100.odb ; V:/Wire_drawing/2026/odb/1020_2a_8_rd_150_cal_50_v_10_fric_025.odb ; V:/Wire_drawing/2026/odb/1020_2a_8_rd_150_cal_50_v_10_fric_050.odb
1020_2a_8_rd_150_cal_75_v_10,3,0100 025 050,8044443,460ffa0e73,V:/Wire_drawing/2026/odb/1020_2a_8_rd_150_cal_75_v_10_fric_0100.odb ; V:/Wire_drawing/2026/odb/1020_2a_8_rd_150_cal_75_v_10_fric_025.odb ; V:/Wire_drawing/2026/odb/1020_2a_8_rd_150_cal_75_v_10_fric_050.odb
1020_2a_8_rd_2000_cal_0_v_10,3,0100 025 050,16140302,4970af3f76,V:/Wire_drawing/2026/odb/1020_2a_8_rd_2000_cal_0_v_10_fric_0100.odb ; V:/Wire_drawing/2026/odb/1020_2a_8_rd_2000_cal_0_v_10_fric_025.odb ; V:/Wire_drawing/2026/odb/1020_2a_8_rd_2000_cal_0_v_10_fric_050.odb
1020_2a_8_rd_2000_cal_100_v_10,3,0100 025 050,18226997,f42a3859db,V:/Wire_drawing/2026/odb/1020_2a_8_rd_2000_cal_100_v_10_fric_0100.odb ; V:/Wire_drawing/2026/odb/1020_2a_8_rd_2000_cal_100_v_10_fric_025.odb ; V:/Wire_drawing/2026/odb/1020_2a_8_rd_2000_cal_100_v_10_fric_050.odb
1020_2a_8_rd_2000_cal_10_v_10,3,0100 025 050,16182727,fb550e2b3a,V:/Wire_drawing/2026/odb/1020_2a_8_rd_2000_cal_10_v_10_fric_0100.odb ; V:/Wire_drawing/2026/odb/1020_2a_8_rd_2000_cal_10_v_10_fric_025.odb ; V:/Wire_drawing/2026/odb/1020_2a_8_rd_2000_cal_10_v_10_fric_050.odb
1020_2a_8_rd_2000_cal_30_v_10,3,0100 025 050,16766538,c83816cd35,V:/Wire_drawing/2026/odb/1020_2a_8_rd_2000_cal_30_v_10_fric_0100.odb ; V:/Wire_drawing/2026/odb/1020_2a_8_rd_2000_cal_30_v_10_fric_025.odb ; V:/Wire_drawing/2026/odb/1020_2a_8_rd_2000_cal_30_v_10_fric_050.odb
1020_2a_8_rd_2000_cal_50_v_10,3,0100 025 050,17154656,e1ba6a97ae,V:/Wire_drawing/2026/odb/1020_2a_8_rd_2000_cal_50_v_10_fric_0100.odb ; V:/Wire_drawing/2026/odb/1020_2a_8_rd_2000_cal_50_v_10_fric_025.odb ; V:/Wire_drawing/2026/odb/1020_2a_8_rd_2000_cal_50_v_10_fric_050.odb
1020_2a_8_rd_2000_cal_75_v_10,3,0100 025 050,17642883,5947815507,V:/Wire_drawing/2026/odb/1020_2a_8_rd_2000_cal_75_v_10_fric_0100.odb ; V:/Wire_drawing/2026/odb/1020_2a_8_rd_2000_cal_75_v_10_fric_025.odb ; V:/Wire_drawing/2026/odb/1020_2a_8_rd_2000_cal_75_v_10_fric_050.odb
1020_2a_8_rd_2500_cal_0_v_10,3,0100 025 050,327383127,249c781697,V:/Wire_drawing/2026/odb/1020_2a_8_rd_2500_cal_0_v_10_fric_0100.odb ; V:/Wire_drawing/2026/odb/1020_2a_8_rd_2500_cal_0_v_10_fric_025.odb ; V:/Wire_drawing/2026/odb/1020_2a_8_rd_2500_cal_0_v_10_fric_050.odb
aisi_1020_2a_16_red_1000_cal_100_vel_40,3,0100 025 050,2820909,19a985f5de,E:/AISI_1020/Vel_40_updated/aisi_1020_2a_16_red_1000_cal_100_vel_40_fric_0100.odb ; E:/AISI_1020/Vel_40_updated/aisi_1020_2a_16_red_1000_cal_100_vel_40_fric_025.odb ; E:/AISI_1020/Vel_40_updated/aisi_1020_2a_16_red_1000_cal_100_vel_40_fric_050.odb
aisi_1020_2a_16_red_1000_cal_75_vel_40,3,0100 025 050,2735307,a32aeb7e3e,E:/AISI_1020/Vel_40_updated/aisi_1020_2a_16_red_1000_cal_75_vel_40_fric_0100.odb ; E:/AISI_1020/Vel_40_updated/aisi_1020_2a_16_red_1000_cal_75_vel_40_fric_025.odb ; E:/AISI_1020/Vel_40_updated/aisi_1020_2a_16_red_1000_cal_75_vel_40_fric_050.odb
aisi_1020_2a_16_red_150_cal_100_vel_40,3,0100 025 050,2094315,b3c630fd21,E:/AISI_1020/Vel_40_updated/aisi_1020_2a_16_red_150_cal_100_vel_40_fric_0100.odb ; E:/AISI_1020/Vel_40_updated/aisi_1020_2a_16_red_150_cal_100_vel_40_fric_025.odb ; E:/AISI_1020/Vel_40_updated/aisi_1020_2a_16_red_150_cal_100_vel_40_fric_050.odb
aisi_1020_2a_16_red_250_cal_100_vel_40,3,0100 025 050,2178597,da52e341f8,E:/AISI_1020/Vel_40_updated/aisi_1020_2a_16_red_250_cal_100_vel_40_fric_0100.odb ; E:/AISI_1020/Vel_40_updated/aisi_1020_2a_16_red_250_cal_100_vel_40_fric_025.odb ; E:/AISI_1020/Vel_40_updated/aisi_1020_2a_16_red_250_cal_100_vel_40_fric_050.odb
aisi_1020_2a_24_red_1000_cal_100_vel_40,3,0100 025 050,2946404,da0e994d9d,E:/AISI_1020/Vel_40_updated/aisi_1020_2a_24_red_1000_cal_100_vel_40_fric_0100.odb ; E:/AISI_1020/Vel_40_updated/aisi_1020_2a_24_red_1000_cal_100_vel_40_fric_025.odb ; E:/AISI_1020/Vel_40_updated/aisi_1020_2a_24_red_1000_cal_100_vel_40_fric_050.odb
aisi_1020_2a_24_red_1000_cal_75_vel_40,3,0100 025 050,2869307,1fe8ffbdca,E:/AISI_1020/Vel_40_updated/aisi_1020_2a_24_red_1000_cal_75_vel_40_fric_0100.odb ; E:/AISI_1020/Vel_40_updated/aisi_1020_2a_24_red_1000_cal_75_vel_40_fric_025.odb ; E:/AISI_1020/Vel_40_updated/aisi_1020_2a_24_red_1000_cal_75_vel_40_fric_050.odb
aisi_1020_2a_24_red_1500_cal_100_vel_40,3,0100 025 050,3644949,3fb48e3b5e,E:/AISI_1020/Vel_40_updated/aisi_1020_2a_24_red_1500_cal_100_vel_40_fric_0100.odb ; E:/AISI_1020/Vel_40_updated/aisi_1020_2a_24_red_1500_cal_100_vel_40_fric_025.odb ; E:/AISI_1020/Vel_40_updated/aisi_1020_2a_24_red_1500_cal_100_vel_40_fric_050.odb
aisi_1020_2a_24_red_1500_cal_75_vel_40,3,0100 025 050,3550919,2dec683480,E:/AISI_1020/Vel_40_updated/aisi_1020_2a_24_red_1500_cal_75_vel_40_fric_0100.odb ; E:/AISI_1020/Vel_40_updated/aisi_1020_2a_24_red_1500_cal_75_vel_40_fric_025.odb ; E:/AISI_1020/Vel_40_updated/aisi_1020_2a_24_red_1500_cal_75_vel_40_fric_050.odb
aisi_1020_2a_24_red_250_cal_100_vel_40,3,0100 025 050,2205717,7fed8027b9,E:/Abaqus_calc/Vel_40/odb/Correct/aisi_1020_2a_24_red_250_cal_100_vel_40_fric_0100.odb ; E:/Abaqus_calc/Vel_40/odb/Correct/aisi_1020_2a_24_red_250_cal_100_vel_40_fric_025.odb ; E:/Abaqus_calc/Vel_40/odb/Correct/aisi_1020_2a_24_red_250_cal_100_vel_40_fric_050.odb
