family,n_mu_levels,mu_tokens,increment,md5_wire_block,odb_paths
1020_2a_16_rd_1500_cal_75_v_20,3,0100 025 050,6796364,5858191daf,E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_16_rd_1500_cal_75_v_20_f_0100.odb ; E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_16_rd_1500_cal_75_v_20_f_025.odb ; E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_16_rd_1500_cal_75_v_20_f_050.odb
1020_2a_16_rd_150_cal_0_v_10,3,0100 025 050,7333556,1344645d50,V:/Wire_drawing/2026/odb/Vel_10_updated/1020_2a_16_rd_150_cal_0_v_10_fric_0100.odb ; V:/Wire_drawing/2026/odb/Vel_10_updated/1020_2a_16_rd_150_cal_0_v_10_fric_025.odb ; V:/Wire_drawing/2026/odb/Vel_10_updated/1020_2a_16_rd_150_cal_0_v_10_fric_050.odb
1020_2a_16_rd_150_cal_0_v_20,3,0100 025 050,3670370,2edadeccea,E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_16_rd_150_cal_0_v_20_f_0100.odb ; E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_16_rd_150_cal_0_v_20_f_025.odb ; E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_16_rd_150_cal_0_v_20_f_050.odb
1020_2a_16_rd_150_cal_100_v_20,3,0100 025 050,4161701,a55f42a97b,E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_16_rd_150_cal_100_v_20_f_0100.odb ; E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_16_rd_150_cal_100_v_20_f_025.odb ; E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_16_rd_150_cal_100_v_20_f_050.odb
1020_2a_16_rd_150_cal_10_v_10,3,0100 025 050,7430007,68fd2ebe5f,V:/Wire_drawing/2026/odb/Vel_10_updated/1020_2a_16_rd_150_cal_10_v_10_fric_0100.odb ; V:/Wire_drawing/2026/odb/Vel_10_updated/1020_2a_16_rd_150_cal_10_v_10_fric_025.odb ; V:/Wire_drawing/2026/odb/Vel_10_updated/1020_2a_16_rd_150_cal_10_v_10_fric_050.odb
1020_2a_16_rd_150_cal_10_v_20,3,0100 025 050,3686370,52b0f93a6e,E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_16_rd_150_cal_10_v_20_f_0100.odb ; E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_16_rd_150_cal_10_v_20_f_025.odb ; E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_16_rd_150_cal_10_v_20_f_050.odb
1020_2a_16_rd_150_cal_30_v_10,3,0100 025 050,7641299,36a0531190,V:/Wire_drawing/2026/odb/Vel_10_updated/1020_2a_16_rd_150_cal_30_v_10_fric_0100.odb ; V:/Wire_drawing/2026/odb/Vel_10_updated/1020_2a_16_rd_150_cal_30_v_10_fric_025.odb ; V:/Wire_drawing/2026/odb/Vel_10_updated/1020_2a_16_rd_150_cal_30_v_10_fric_050.odb
1020_2a_16_rd_150_cal_30_v_20,3,0100 025 050,3799324,9712e7c046,E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_16_rd_150_cal_30_v_20_f_0100.odb ; E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_16_rd_150_cal_30_v_20_f_025.odb ; E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_16_rd_150_cal_30_v_20_f_050.odb
1020_2a_16_rd_150_cal_50_v_10,3,0100 025 050,7856736,3ca0494111,V:/Wire_drawing/2026/odb/Vel_10_updated/1020_2a_16_rd_150_cal_50_v_10_fric_0100.odb ; V:/Wire_drawing/2026/odb/Vel_10_updated/1020_2a_16_rd_150_cal_50_v_10_fric_025.odb ; V:/Wire_drawing/2026/odb/Vel_10_updated/1020_2a_16_rd_150_cal_50_v_10_fric_050.odb
1020_2a_16_rd_150_cal_50_v_20,3,0100 025 050,3895550,e724bf7a5c,E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_16_rd_150_cal_50_v_20_f_0100.odb ; E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_16_rd_150_cal_50_v_20_f_025.odb ; E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_16_rd_150_cal_50_v_20_f_050.odb
1020_2a_16_rd_150_cal_75_v_10,3,0100 025 050,8100999,3a4133cbe8,V:/Wire_drawing/2026/odb/Vel_10_updated/1020_2a_16_rd_150_cal_75_v_10_fric_0100.odb ; V:/Wire_drawing/2026/odb/Vel_10_updated/1020_2a_16_rd_150_cal_75_v_10_fric_025.odb ; V:/Wire_drawing/2026/odb/Vel_10_updated/1020_2a_16_rd_150_cal_75_v_10_fric_050.odb
1020_2a_16_rd_150_cal_75_v_20,3,0100 025 050,4025234,017c4adcb2,E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_16_rd_150_cal_75_v_20_f_0100.odb ; E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_16_rd_150_cal_75_v_20_f_025.odb ; E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_16_rd_150_cal_75_v_20_f_050.odb
1020_2a_16_rd_2000_cal_0_v_10,3,0100 025 050,16274207,4336483496,V:/Wire_drawing/2026/odb/Vel_10_updated/1020_2a_16_rd_2000_cal_0_v_10_fric_0100.odb ; V:/Wire_drawing/2026/odb/Vel_10_updated/1020_2a_16_rd_2000_cal_0_v_10_fric_025.odb ; V:/Wire_drawing/2026/odb/Vel_10_updated/1020_2a_16_rd_2000_cal_0_v_10_fric_050.odb
1020_2a_16_rd_2000_cal_0_v_20,3,0100 025 050,8310286,f829108c9d,E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_16_rd_2000_cal_0_v_20_f_0100.odb ; E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_16_rd_2000_cal_0_v_20_f_025.odb ; E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_16_rd_2000_cal_0_v_20_f_050.odb
1020_2a_16_rd_2000_cal_100_v_10,3,0100 025 050,18388188,64187b3b77,V:/Wire_drawing/2026/odb/Vel_10_updated/1020_2a_16_rd_2000_cal_100_v_10_fric_0100.odb ; V:/Wire_drawing/2026/odb/Vel_10_updated/1020_2a_16_rd_2000_cal_100_v_10_fric_025.odb ; V:/Wire_drawing/2026/odb/Vel_10_updated/1020_2a_16_rd_2000_cal_100_v_10_fric_050.odb
1020_2a_16_rd_2000_cal_100_v_20,3,0100 025 050,9272891,f6f5259182,E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_16_rd_2000_cal_100_v_20_f_0100.odb ; E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_16_rd_2000_cal_100_v_20_f_025.odb ; E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_16_rd_2000_cal_100_v_20_f_050.odb
1020_2a_16_rd_2000_cal_10_v_10,3,0100 025 050,16527061,4ab18563a8,V:/Wire_drawing/2026/odb/Vel_10_updated/1020_2a_16_rd_2000_cal_10_v_10_fric_0100.odb ; V:/Wire_drawing/2026/odb/Vel_10_updated/1020_2a_16_rd_2000_cal_10_v_10_fric_025.odb ; V:/Wire_drawing/2026/odb/Vel_10_updated/1020_2a_16_rd_2000_cal_10_v_10_fric_050.odb
1020_2a_16_rd_2000_cal_10_v_20,3,0100 025 050,8335289,f6cffd775f,E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_16_rd_2000_cal_10_v_20_f_0100.odb ; E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_16_rd_2000_cal_10_v_20_f_025.odb ; E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_16_rd_2000_cal_10_v_20_f_050.odb
1020_2a_16_rd_2000_cal_30_v_10,3,0100 025 050,17572992,150aeb89c9,V:/Wire_drawing/2026/odb/Vel_10_updated/1020_2a_16_rd_2000_cal_30_v_10_fric_0100.odb ; V:/Wire_drawing/2026/odb/Vel_10_updated/1020_2a_16_rd_2000_cal_30_v_10_fric_025.odb ; V:/Wire_drawing/2026/odb/Vel_10_updated/1020_2a_16_rd_2000_cal_30_v_10_fric_050.odb
1020_2a_16_rd_2000_cal_30_v_20,3,0100 025 050,8547935,760c1b7497,E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_16_rd_2000_cal_30_v_20_f_0100.odb ; E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_16_rd_2000_cal_30_v_20_f_025.odb ; E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_16_rd_2000_cal_30_v_20_f_050.odb
1020_2a_16_rd_2000_cal_50_v_10,3,0100 025 050,17325586,c0a4112d3a,V:/Wire_drawing/2026/odb/Vel_10_updated/1020_2a_16_rd_2000_cal_50_v_10_fric_0100.odb ; V:/Wire_drawing/2026/odb/Vel_10_updated/1020_2a_16_rd_2000_cal_50_v_10_fric_025.odb ; V:/Wire_drawing/2026/odb/Vel_10_updated/1020_2a_16_rd_2000_cal_50_v_10_fric_050.odb
1020_2a_16_rd_2000_cal_50_v_20,3,0100 025 050,8747978,f116a2cd5e,E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_16_rd_2000_cal_50_v_20_f_0100.odb ; E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_16_rd_2000_cal_50_v_20_f_025.odb ; E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_16_rd_2000_cal_50_v_20_f_050.odb
1020_2a_16_rd_2000_cal_75_v_20,3,0100 025 050,9001052,aaec96467b,E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_16_rd_2000_cal_75_v_20_f_0100.odb ; E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_16_rd_2000_cal_75_v_20_f_025.odb ; E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_16_rd_2000_cal_75_v_20_f_050.odb
