job,Q,k,alpha,mu_token,v,r_max_mm,z_max_mm,increment,odb_path
1020_2a_24_rd_250_cal_75_v_10_fric_025,0.025,0.75,12.0,025,10.0,18.139,113.7,3242504,V:/Wire_drawing/2026/odb/1020_2a_24_rd_250_cal_75_v_10_fric_025.odb
1020_2a_24_rd_250_cal_75_v_10_fric_050,0.025,0.75,12.0,050,10.0,18.133,113.7,3242678,V:/Wire_drawing/2026/odb/1020_2a_24_rd_250_cal_75_v_10_fric_050.odb
1020_2a_24_rd_500_cal_0_v_10_fric_0100,0.05,0.0,12.0,0100,10.0,18.0,117.5,3488287,V:/Wire_drawing/2026/odb/1020_2a_24_rd_500_cal_0_v_10_fric_0100.odb
1020_2a_24_rd_500_cal_0_v_10_fric_025,0.05,0.0,12.0,025,10.0,18.0,116.5,3152382,V:/Wire_drawing/2026/odb/1020_2a_24_rd_500_cal_0_v_10_fric_025.odb
1020_2a_24_rd_500_cal_0_v_10_fric_050,0.05,0.0,12.0,050,10.0,18.0,116.6,3153530,V:/Wire_drawing/2026/odb/1020_2a_24_rd_500_cal_0_v_10_fric_050.odb
1020_2a_24_rd_500_cal_100_v_10_fric_0100,0.05,1.0,12.0,0100,10.0,18.0,118.9,4005357,V:/Wire_drawing/2026/odb/1020_2a_24_rd_500_cal_100_v_10_fric_0100.odb
1020_2a_24_rd_500_cal_100_v_10_fric_025,0.05,1.0,12.0,025,10.0,18.0,117.6,3584878,V:/Wire_drawing/2026/odb/1020_2a_24_rd_500_cal_100_v_10_fric_025.odb
1020_2a_24_rd_500_cal_100_v_10_fric_050,0.05,1.0,12.0,050,10.0,18.0,117.7,3585194,V:/Wire_drawing/2026/odb/1020_2a_24_rd_500_cal_100_v_10_fric_050.odb
1020_2a_24_rd_500_cal_10_v_10_fric_0100,0.05,0.1,12.0,0100,10.0,18.0,117.7,3539784,V:/Wire_drawing/2026/odb/1020_2a_24_rd_500_cal_10_v_10_fric_0100.odb
1020_2a_24_rd_500_cal_10_v_10_fric_025,0.05,0.1,12.0,025,10.0,18.0,116.7,3193742,V:/Wire_drawing/2026/odb/1020_2a_24_rd_500_cal_10_v_10_fric_025.odb
1020_2a_24_rd_500_cal_10_v_10_fric_050,0.05,0.1,12.0,050,10.0,18.0,116.7,3193729,V:/Wire_drawing/2026/odb/1020_2a_24_rd_500_cal_10_v_10_fric_050.odb
1020_2a_24_rd_500_cal_30_v_10_fric_0100,0.05,0.3,12.0,0100,10.0,18.0,118.0,3643200,V:/Wire_drawing/2026/odb/1020_2a_24_rd_500_cal_30_v_10_fric_0100.odb
1020_2a_24_rd_500_cal_30_v_10_fric_025,0.05,0.3,12.0,025,10.0,18.0,116.9,3276413,V:/Wire_drawing/2026/odb/1020_2a_24_rd_500_cal_30_v_10_fric_025.odb
1020_2a_24_rd_500_cal_30_v_10_fric_050,0.05,0.3,12.0,050,10.0,18.0,116.9,3276270,V:/Wire_drawing/2026/odb/1020_2a_24_rd_500_cal_30_v_10_fric_050.odb
1020_2a_24_rd_500_cal_50_v_10_fric_0100,0.05,0.5,12.0,0100,10.0,18.0,118.2,3746465,V:/Wire_drawing/2026/odb/1020_2a_24_rd_500_cal_50_v_10_fric_0100.odb
1020_2a_24_rd_500_cal_50_v_10_fric_025,0.05,0.5,12.0,025,10.0,18.0,117.1,3358932,V:/Wire_drawing/2026/odb/1020_2a_24_rd_500_cal_50_v_10_fric_025.odb
1020_2a_24_rd_500_cal_50_v_10_fric_050,0.05,0.5,12.0,050,10.0,18.0,117.1,3359167,V:/Wire_drawing/2026/odb/1020_2a_24_rd_500_cal_50_v_10_fric_050.odb
1020_2a_24_rd_500_cal_75_v_10_fric_0100,0.05,0.75,12.0,0100,10.0,18.0,118.5,3875881,V:/Wire_drawing/2026/odb/1020_2a_24_rd_500_cal_75_v_10_fric_0100.odb
1020_2a_24_rd_500_cal_75_v_10_fric_025,0.05,0.75,12.0,025,10.0,18.0,117.3,3462546,V:/Wire_drawing/2026/odb/1020_2a_24_rd_500_cal_75_v_10_fric_025.odb
1020_2a_24_rd_500_cal_75_v_10_fric_050,0.05,0.75,12.0,050,10.0,18.0,117.4,3462663,V:/Wire_drawing/2026/odb/1020_2a_24_rd_500_cal_75_v_10_fric_050.odb
