stage,family,backend,split,seed,frac,corrupt_rate,n_train,n_test,epochs,seconds,macro_rmse,macro_nrmse,macro_r2,rmse_normal_only,rmse_sigma_rr,rmse_sigma_tt,rmse_sigma_zz,rmse_tau_rz,nrmse_sigma_rr,nrmse_sigma_tt,nrmse_sigma_zz,nrmse_tau_rz,r2_sigma_rr,r2_sigma_tt,r2_sigma_zz,r2_tau_rz,eq_res_median,bc_sigma_rr,bc_tau_rz,lambda_physics,lambda_bc,learning_rate,n_units,n_layers,eq_r_reduced,eq_z_full,eq_z_reduced,phys_gain,macro_nrmse_global,macro_r2_global,r2_normal_only,r2_normal_only_global,nrmse_sigma_rr_global,nrmse_sigma_tt_global,nrmse_sigma_zz_global,nrmse_tau_rz_global,error
main,pinn,torch,matched:alpha_max,1,,,1377,379,352,207.7,8.352988076933924,0.2060596685152551,0.9345703868199803,11.01691212485221,4.831081569406891,7.431765078795372,20.787889726354365,0.36121593317906614,0.1085508854625926,0.10799829450430434,0.14009453215747023,0.4675949619366531,0.9882167052652866,0.9883363683841612,0.9803735220595793,0.781354951570894,809.5025869838182,0.8474196168469499,0.027323296821293568,0.3,0.5,0.003,96,3,,,,0.1716,0.20932355650849266,0.9306883985491707,0.9856421985696757,0.9859569610051092,0.10752714290583891,0.10534551458769775,0.13953262371013048,0.4848889448303034,
main,pinn,torch,matched:alpha_max,3,,,1377,379,456,271.5,7.912420072565729,0.19772686552281615,0.9384304839396604,10.432409067424262,4.436793634765043,6.922546907356585,19.937886660151154,0.35245308799013425,0.09969152264337944,0.10059834395919055,0.134366159366403,0.4562514361222917,0.9900616003130441,0.9898799731926681,0.9819457352171221,0.7918346270358075,819.4308584893579,0.5696825156768885,0.019253521730590566,0.3,0.5,0.003,96,3,,,,0.13189,0.20095794225527708,0.93471534429468,0.9872957695742781,0.9875698248907909,0.09875133266848722,0.09812733024806027,0.13382722698394775,0.47312587912061305,
main,pinn,torch,matched:alpha_max,2,,,1377,379,594,365.7,7.762950886172377,0.19424606914483952,0.9398882273768164,10.23422122865531,4.20838191103716,6.661487155403254,19.832794619525515,0.34913985872357706,0.0945592775126596,0.09680462770527923,0.1336579191140864,0.4519624522473329,0.9910585430362834,0.990628864054842,0.982135560658092,0.7957299417580486,726.3650319690046,1.056765275279192,0.0419308755779006,0.3,0.5,0.003,96,3,,,,0.13757,0.19747359603343384,0.936232310417582,0.987940989249739,0.9881961866462055,0.09366748970168913,0.09442679967206981,0.13312182742908305,0.4686782673308934,
main,pinn,torch,matched:alpha_max,0,,,1377,379,651,379.0,7.6556387075447745,0.19303069610163726,0.9403071258551378,10.091359724286947,4.226513246542885,6.482018301640869,19.56554762467709,0.34847565731825275,0.09496667542045513,0.09419658911451666,0.13185687806534954,0.4511026418062278,0.9909813305595855,0.9911270025991906,0.9826137637068593,0.7965064065549154,665.8124457883146,0.5558090704321953,0.024951405367593108,0.3,0.5,0.003,96,3,,,,0.2099,0.19626713381397154,0.9366591956782235,0.9882406989552118,0.9884870463408184,0.09407104544298397,0.09188282276327235,0.13132801021816273,0.4677866568314672,
main,vpinn,torch,matched:alpha_max,0,,,1377,379,286,150.3,8.361525203685542,0.2077617296551121,0.933079652243161,11.02670229870786,4.865617351391296,7.416615871162101,20.797873673570184,0.36599391861858194,0.10932687933905502,0.1077781464546636,0.1401618163519073,0.4737800764748225,0.9880476334539832,0.9883838711467967,0.9803546652369339,0.7755324391349303,1143.7552982689895,0.8684141470781933,0.026216645629383625,0.3,0.5,0.003,96,3,,,,5.54909,0.21108226152539894,0.9290882551248589,0.9855953899459046,0.9859104923745274,0.1082958183900862,0.10513077407090231,0.1395996380328128,0.4913028156077945,
main,vpinn,torch,matched:alpha_max,1,,,1377,379,361,194.5,8.333072755754923,0.20273429296786943,0.9371767686721557,10.99312428681821,4.758952596633063,7.310563945699587,20.909856318121978,0.35291816256506325,0.10693019995984968,0.10623700152376038,0.14091649402264514,0.45685347636522255,0.988565932336546,0.9887136995072402,0.9801425417123656,0.7912849011324707,1203.9060357365443,0.5954114647659786,0.016946838174026722,0.3,0.5,0.003,96,3,,,,4.83286,0.20591267529050966,0.933476051551204,0.985807391185384,0.986114481583555,0.10592174207547062,0.1036274845370685,0.14035128874916722,0.47375018580033235,
main,vpinn,torch,matched:alpha_max,2,,,1377,379,413,192.7,8.048027600869455,0.2010776742464193,0.9361152410157781,10.610963497496622,4.557138725043513,6.812261057357966,20.463490710088383,0.35921991098795536,0.10239558920137949,0.09899567170279852,0.13790833004583836,0.46501110603566087,0.9895151433121019,0.9901998569841115,0.9809812925039678,0.7837646712629316,1067.2435810523907,0.822371420408874,0.02781912523003436,0.3,0.5,0.003,96,3,,,,7.62165,0.20438965932243694,0.9322487226705896,0.986898764266727,0.9871736389302059,0.10142989719580442,0.09656402469457936,0.13735519028786286,0.4822095251115011,
main,pinn,torch,matched:alpha_max,4,,,1377,379,691,404.1,7.714953284591638,0.18791790203370962,0.9445463629110966,10.175395311135501,4.051341512045757,6.459771171597246,20.0150732497635,0.33362720496004894,0.09103069408491002,0.09387329416683564,0.13488633814851686,0.431881281734576,0.9917134127344192,0.9911878046422665,0.9818056757808837,0.8134785584868169,732.0610432393739,0.6864618309051679,0.024194303300588738,0.3,0.5,0.003,96,3,,,,0.17418,0.19098484202384025,0.9412155378614344,0.9882356310525231,0.988478570322334,0.09017218431680993,0.09156746896270189,0.13434531936877475,0.44785439544707445,
main,vpinn,torch,matched:alpha_max,3,,,1377,379,371,183.9,8.30312588685539,0.20479126634232342,0.9346876193529081,10.950244004081744,4.662659999724328,7.201335038836773,20.986736973684135,0.3617715351763318,0.1047665754157874,0.10464968874857435,0.14143461104244467,0.46831419016248715,0.9890239646756477,0.9890484426448262,0.9799962507992721,0.7806818192918861,1317.7642232707603,0.575699855215465,0.024825670929176723,0.3,0.5,0.003,96,3,,,,3.98471,0.20808994629312613,0.930781281419046,0.9860228860399154,0.9863220863631662,0.10377852265766,0.10207916118732398,0.14086732764125076,0.4856347736862698,
main,mlp,torch,interp:alpha_mid,1,,,1416,340,260,40.9,8.9792479881173,0.33214361464953834,0.7632491822830345,11.821733416834391,5.8193018845195885,8.172967790462584,21.472930575520998,0.4517917019660309,0.12498014034722293,0.11587478221754363,0.13988614530440896,0.9478333907289778,0.9843799645187877,0.9865730348460364,0.9804318663518735,0.10161186341544015,1702.243912482757,2.934304619219741,0.1279887125753285,0.0,0.0,0.003,96,3,,,,1.0,0.2489952975508057,0.895303855644394,0.9837949552388993,0.9830095286212752,0.12952232256053095,0.11585208742019583,0.14413075985050336,0.6064760203719927,
