stage,family,backend,split,seed,frac,corrupt_rate,n_train,n_test,epochs,seconds,macro_rmse,macro_nrmse,macro_r2,rmse_normal_only,rmse_sigma_rr,rmse_sigma_tt,rmse_sigma_zz,rmse_tau_rz,nrmse_sigma_rr,nrmse_sigma_tt,nrmse_sigma_zz,nrmse_tau_rz,r2_sigma_rr,r2_sigma_tt,r2_sigma_zz,r2_tau_rz,eq_res_median,bc_sigma_rr,bc_tau_rz,lambda_physics,lambda_bc,learning_rate,n_units,n_layers,eq_r_reduced,eq_z_full,eq_z_reduced,phys_gain,macro_nrmse_global,macro_r2_global,r2_normal_only,r2_normal_only_global,nrmse_sigma_rr_global,nrmse_sigma_tt_global,nrmse_sigma_zz_global,nrmse_tau_rz_global,error
main,pinn,torch,random,2,,,1571,277,676,343.7,12.134801772648295,0.3067081655098536,0.8412096595049159,15.762607580412029,4.799742551178184,11.234739924135386,31.253340265922514,1.2513843493570953,0.11055493693104108,0.161689448239583,0.21161002048587285,0.7429782563829173,0.9877776059201729,0.9738565223279785,0.9552211992299678,0.4479833105415445,899.2508536413948,0.5742813396962195,0.05333609456358994,0.3,0.5,0.003,96,3,,,,0.1345,0.36239475731335974,0.7446367549912238,0.972285109159373,0.9725922393949163,0.10810248627871318,0.16147708924449533,0.21086081647555288,0.9691386372546776,
main,pinn,torch,random,0,,,1571,277,769,368.3,11.86816019968165,0.2695088610418994,0.8880161066113489,15.483423612485032,4.5861256258742005,10.751772938185283,31.112372273395607,1.0223699612715083,0.10563458850556402,0.154738627303493,0.21065555483411666,0.6070066735244238,0.9888413337112596,0.97605595722023,0.9556242372175299,0.631542898296376,891.9110429849902,0.7090607768232324,0.059043763285110296,0.3,0.5,0.003,96,3,,,,0.21459,0.31487853028051166,0.8236189221525337,0.9735071760496732,0.9737958754420962,0.10329128640906468,0.1545353973478392,0.209909730103721,0.7917777072614218,
main,pinn,torch,random,1,,,1571,277,800,381.0,11.960833403654615,0.2772977142836887,0.8798085315655683,15.59289165167383,4.62788991860005,11.164414925211014,30.986370111210427,1.0646586595969705,0.10659656692399866,0.16067733666865974,0.20980241978057032,0.6321145337615262,0.988637171920017,0.9741827934810654,0.9559829446542167,0.600431216206974,936.5449298596777,0.6035087247778526,0.04045241789444265,0.3,0.5,0.003,96,3,,,,0.1709,0.32457154337285854,0.8099583468011542,0.9729343033517663,0.9732267824150668,0.10423192516899735,0.16046630695633268,0.2090596155697228,0.8245283257963812,
main,pinn,torch,random,3,,,1571,277,800,386.1,11.809679132548172,0.2735319891832235,0.8840255568483678,15.398227252962535,4.7245359411112675,11.107256857039117,30.36288896073722,1.044034771305088,0.10882266443015363,0.159854722476648,0.20558095551781924,0.6198696143082731,0.9881576277063217,0.9744464677019131,0.9577364707283799,0.6157616612568564,968.9455039663853,0.7815422508054355,0.05910608465176794,0.3,0.5,0.003,96,3,,,,0.12422,0.3198656501525817,0.8168657516917394,0.9734468553788717,0.973741985342995,0.10640864094302288,0.15964477316582557,0.20485309737591406,0.8085560891255644,
main,vpinn,torch,random,2,,,1571,277,676,273.2,11.469624444200377,0.2975125804055188,0.8499401712343803,14.886148528962046,5.005258856608433,10.746763550254306,28.9064231800234,1.220052189915372,0.11528869961578435,0.15466653260650426,0.19571952147360358,0.7243755679261831,0.9867085157409008,0.9760782636914804,0.9616938689141431,0.4752800365909967,1524.5514733425011,0.803552322994532,0.05720783092136215,0.3,0.5,0.003,96,3,,,,7.56304,0.3517736399998923,0.7581529303622164,0.9748268827821748,0.9751324535105746,0.11273123945681264,0.15446339733827485,0.19502657767987752,0.9448733455246042,
main,pinn,torch,random,4,,,1571,277,688,329.0,11.57673182136017,0.28186157921772736,0.8709032369281817,15.063258982274624,4.530564467138751,11.089716740785647,29.569495738899473,1.1171503386168125,0.10435481978165499,0.15960228657352676,0.20020905112302725,0.6632801593927005,0.9891100715883377,0.9745271101205011,0.9599163358484165,0.5600594301554713,902.8129608805175,0.5416557413538735,0.04978311241602078,0.3,0.5,0.003,96,3,,,,0.1684,0.3315283658673651,0.7939609746219005,0.9745178391857517,0.9747938332896755,0.10203990691614709,0.15939266880588968,0.19950021217646263,0.8651806755709611,
main,vpinn,torch,random,1,,,1571,277,667,314.4,11.592221385407285,0.2605842329562435,0.8994381329244088,15.136527266405755,5.149952120675057,10.702229840847044,29.55739983769516,0.9593037424118729,0.11862149392978469,0.1540256071422082,0.20012715223222516,0.5695626785207559,0.9859289411778654,0.9762761123444734,0.9599491229394193,0.6755983552358769,1702.5033494696713,0.6071486478286239,0.03841873151207927,0.3,0.5,0.003,96,3,,,,4.78569,0.3030419725119088,0.8427907991379904,0.9740513921539193,0.974372301692045,0.1159901020784224,0.1538233136499203,0.19941860324819297,0.7429358710710996,
main,vpinn,torch,random,0,,,1571,277,800,347.2,10.691324783031204,0.23867520771571968,0.9156816496231089,13.962676743431123,4.534396300610753,10.036233395753902,27.317400533928712,0.8772689018314529,0.10444308037132423,0.14444064136073095,0.18496057181153336,0.5208565373192902,0.9890916429625486,0.9791369011233001,0.9657895868751502,0.7287084675314367,1517.6990279555448,0.3846816094192599,0.04257106698682011,0.3,0.5,0.003,96,3,,,,5.51359,0.2775216477227581,0.86830097125202,0.9780060436536663,0.9782644353967646,0.10212620961278397,0.14425093652975313,0.18430572001465673,0.6794037247338387,
main,vpinn,torch,random,3,,,1571,277,800,332.2,10.903108945915474,0.24635140635985103,0.9092433546655735,14.232877186212791,4.645974546545651,10.260593445079145,27.792063567013578,0.9138042250235185,0.10701311945377061,0.1476696126433213,0.1881744188211759,0.5425484745211363,0.9885481922647725,0.9781936855017709,0.9645903881013123,0.7056411527944384,1576.144428160904,0.6611662229005142,0.043796844597053915,0.3,0.5,0.003,96,3,,,,3.86304,0.2868304290076554,0.8578262238555707,0.9771107552892851,0.9773807456511591,0.1046392372744904,0.14747566695986852,0.1875081884182075,0.7076986233780551,
main,vpinn,torch,random,4,,,1571,277,654,336.0,11.16013029329377,0.2556735652222964,0.9005874155574218,14.559575951607632,4.742692116707713,10.337666671512618,28.59836906660256,0.9617933183521868,0.10924086495373822,0.148778844146696,0.1936337496265918,0.5710408021621596,0.9880664334241586,0.9778648555343725,0.9625059710055458,0.67391240226561,1703.3407455866525,0.4688240298807107,0.052164360000336155,0.3,0.5,0.003,96,3,,,,2.75589,0.2983032819443121,0.8436154221541565,0.976145753321359,0.9764279881922469,0.10681756448472551,0.14858344162552167,0.1929481904955996,0.7448639311714017,
